I	87388	87500	1	1	1	9	0	45
I	142254	142619	1	1	1	212	0	50
I	151007	151096	2	2	1	2	0	41
II	225047	263449	2	2	0	0	1	48
II	225111	263588	2	2	0	0	3	48
II	225449	263991	1	1	0	0	1	46
IV	880374	988618	0	0	0	0	3	47
V	443904	493003	0	0	0	0	3	43
V	445447	494407	1	1	0	0	1	48
VII	562927	569822	2	2	0	0	2	34
X	473832	479415	2	2	0	0	4	44
X	474427	480010	2	2	0	0	9	42
X	476477	481921	2	2	0	0	1	48
X	476541	482060	2	2	0	0	3	48
X	476879	482463	1	1	0	0	1	46
X	476955	482538	2	2	0	0	1	34
X	477979	483562	2	2	0	0	5	35
XIII	185763	197929	2	2	0	0	1	48
XIII	185801	197889	2	2	0	0	1	43
XIII	188178	200344	2	2	0	0	2	35
XIII	188580	200747	1	1	0	0	1	46
XIII	358537	374234	1	1	0	0	10	48
XIII	358985	374682	1	1	0	0	27	50
XIII	359050	374608	1	1	0	0	1	48
XIII	359074	374594	0	0	0	0	3	47
XIII	361326	377023	1	1	0	0	1	48
XIII	361332	377029	1	1	0	0	1	50
XV	574783	597760	2	2	0	1	0	14
XV	593976	600261	1	1	0	0	1	14
XVI	192987	211676	1	1	0	0	1	20
XVI	806692	852540	1	1	0	0	1	48
