I	12776	24940	1	1	0	0	1	44
I	26026	26430	1	1	0	0	1	41
I	26161	26430	1	1	0	0	1	41
I	87388	87500	1	1	1	5	0	40
I	142254	142619	1	1	1	134	0	50
I	204916	205050	2	2	0	0	1	16
I	204941	205210	2	2	0	0	1	41
I	204941	205345	2	2	0	0	1	41
I	206113	206247	1	1	0	0	1	34
I	206113	206382	1	1	0	1	1	34
II	225111	263588	2	2	0	0	3	48
IV	1170573	1212063	2	2	0	1	0	13
V	448224	497248	2	6	0	0	1	13
VII	562927	569822	2	2	0	0	1	41
VII	920665	921119	1	1	1	1	0	24
IX	321682	339485	1	1	0	1	0	13
X	473408	478870	2	2	0	0	1	45
X	474467	480051	1	1	0	0	1	26
X	476517	481924	1	3	0	0	1	25
X	476541	482060	2	2	0	0	3	48
X	477979	483562	2	2	0	0	2	50
XIII	185109	197154	2	2	0	0	1	45
XIII	185763	197929	2	2	0	0	1	36
XIII	186914	226360	2	2	0	0	1	19
XIII	199081	226360	2	2	0	0	1	19
XIII	358537	374234	1	1	0	0	8	35
XIII	358985	374682	1	1	0	0	19	50
XIII	359176	374874	1	1	0	0	1	23
XIII	361256	376953	1	1	0	0	2	29
XIII	499879	500151	2	2	1	1	0	20
XIV	525079	525181	2	2	0	1	0	19
XVI	805837	851660	2	2	0	0	1	15
XVI	808562	854550	2	2	0	0	1	26
XVI	809469	855381	2	6	0	0	1	13
